rank,formula,family,charge,n_atoms,e_reaction_kcalmol,reference_reaction,is_true_minimum,n_imaginary_freq,xyz
14,N9_anion,anion,-1,9,21.168077260101505,Nx- -> (x-5)/2 N2 + N5-,True,0,resultats/seeds_pubchem/work/frequency/N9_anion_iso0129_conf1/post_freq_minimum.xyz
15,N9_anion,anion,-1,9,37.74979435155867,Nx- -> (x-5)/2 N2 + N5-,True,0,resultats/seeds_pubchem/work/frequency/N9_anion_iso0026_conf1/post_freq_minimum.xyz
16,N9_anion,anion,-1,9,58.82520221501762,Nx- -> (x-5)/2 N2 + N5-,True,0,resultats/seeds_pubchem/work/xtb/N9_anion_iso0043_conf0/xtbopt.xyz
17,N9_anion,anion,-1,9,60.809395419053445,Nx- -> (x-5)/2 N2 + N5-,True,0,resultats/seeds_pubchem/work/xtb/N9_anion_iso0015_conf1/xtbopt.xyz
18,N9_anion,anion,-1,9,74.07414491610481,Nx- -> (x-5)/2 N2 + N5-,True,0,resultats/seeds_pubchem/work/frequency/N9_anion_iso0139_conf0/post_freq_minimum.xyz
19,N9_anion,anion,-1,9,86.71838826696015,Nx- -> (x-5)/2 N2 + N5-,True,0,resultats/seeds_pubchem/work/frequency/N9_anion_iso0051_conf1/post_freq_minimum.xyz
20,N9_anion,anion,-1,9,138.160635679039,Nx- -> (x-5)/2 N2 + N5-,True,0,resultats/seeds_pubchem/work/xtb/N9_anion_iso0014_conf1/xtbopt.xyz
1,N11_anion,anion,-1,11,-126.1936617966266,Nx- -> (x-5)/2 N2 + N5-,True,0,resultats/seeds_pubchem/work/frequency/N11_anion_iso0132_conf0/post_freq_minimum.xyz
2,N11_anion,anion,-1,11,-86.74726241220566,Nx- -> (x-5)/2 N2 + N5-,True,0,resultats/seeds_pubchem/work/frequency/N11_anion_iso0009_conf0/post_freq_minimum.xyz
3,N11_anion,anion,-1,11,-81.97492089621159,Nx- -> (x-5)/2 N2 + N5-,True,0,resultats/seeds_pubchem/work/xtb/N11_anion_iso0006_conf0/xtbopt.xyz
4,N11_anion,anion,-1,11,-76.3648821542595,Nx- -> (x-5)/2 N2 + N5-,True,0,resultats/seeds_pubchem/work/xtb/N11_anion_iso0144_conf0/xtbopt.xyz
