rank,formula,family,charge,n_atoms,e_reaction_kcalmol,reference_reaction,is_true_minimum,n_imaginary_freq,xyz
10,N8_neutral,neutral,0,8,-29.315849497997437,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/xtb/N8_neutral_iso0136_conf0/xtbopt.xyz
11,N8_neutral,neutral,0,8,-28.618986959824202,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/xtb/N8_neutral_iso0169_conf0/xtbopt.xyz
12,N8_neutral,neutral,0,8,-19.41217914098664,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/xtb/N8_neutral_iso0009_conf0/xtbopt.xyz
13,N8_neutral,neutral,0,8,-10.476360161175963,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/xtb/N8_neutral_iso0037_conf1/xtbopt.xyz
14,N8_neutral,neutral,0,8,-0.1458943334440058,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/frequency/N8_neutral_iso0049_conf0/post_freq_minimum.xyz
15,N8_neutral,neutral,0,8,12.880027360992992,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/xtb/N8_neutral_iso0130_conf1/xtbopt.xyz
16,N8_neutral,neutral,0,8,19.40126357096165,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/xtb/N8_neutral_iso0145_conf1/xtbopt.xyz
17,N8_neutral,neutral,0,8,25.662385022549888,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/frequency/N8_neutral_iso0052_conf1/post_freq_minimum.xyz
18,N8_neutral,neutral,0,8,26.827205780467327,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/frequency/N8_neutral_iso0219_conf0/post_freq_minimum.xyz
19,N8_neutral,neutral,0,8,36.92414074732108,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/xtb/N8_neutral_iso0063_conf1/xtbopt.xyz
20,N8_neutral,neutral,0,8,39.548468829839784,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/xtb/N8_neutral_iso0080_conf1/xtbopt.xyz
21,N8_neutral,neutral,0,8,42.27867579834939,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/xtb/N8_neutral_iso0141_conf1/xtbopt.xyz
22,N8_neutral,neutral,0,8,48.47217289054798,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/xtb/N8_neutral_iso0203_conf0/xtbopt.xyz
23,N8_neutral,neutral,0,8,51.29724822421837,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/xtb/N8_neutral_iso0036_conf0/xtbopt.xyz
24,N8_neutral,neutral,0,8,69.67197830439152,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/xtb/N8_neutral_iso0223_conf0/xtbopt.xyz
25,N8_neutral,neutral,0,8,92.31855269958399,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/xtb/N8_neutral_iso0005_conf1/xtbopt.xyz
1,N10_neutral,neutral,0,10,-134.2045748484491,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/xtb/N10_neutral_iso0057_conf0/xtbopt.xyz
2,N10_neutral,neutral,0,10,-123.69870672710918,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/xtb/N10_neutral_iso0027_conf0/xtbopt.xyz
3,N10_neutral,neutral,0,10,-110.70320970692603,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/frequency/N10_neutral_iso0056_conf0/post_freq_minimum.xyz
4,N10_neutral,neutral,0,10,-100.84190367508548,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/frequency/N10_neutral_iso0018_conf0/post_freq_minimum.xyz
5,N10_neutral,neutral,0,10,-97.64235872649354,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/frequency/N10_neutral_iso0001_conf0/post_freq_minimum.xyz
6,N10_neutral,neutral,0,10,-95.64366284158729,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/xtb/N10_neutral_iso0042_conf0/xtbopt.xyz
7,N10_neutral,neutral,0,10,-80.55173745944333,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/frequency/N10_neutral_iso0059_conf1/post_freq_minimum.xyz
8,N10_neutral,neutral,0,10,-74.9075455175776,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/xtb/N10_neutral_iso0183_conf0/xtbopt.xyz
9,N10_neutral,neutral,0,10,-70.73219395435503,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/frequency/N10_neutral_iso0034_conf0/post_freq_minimum.xyz
10,N10_neutral,neutral,0,10,-45.58133686494791,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/frequency/N10_neutral_iso0055_conf1/post_freq_minimum.xyz
11,N10_neutral,neutral,0,10,-41.24669008928636,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/frequency/N10_neutral_iso0048_conf0/post_freq_minimum.xyz
12,N10_neutral,neutral,0,10,-35.419454935561575,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/xtb/N10_neutral_iso0008_conf0/xtbopt.xyz
13,N10_neutral,neutral,0,10,-34.64951443238805,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/xtb/N10_neutral_iso0029_conf0/xtbopt.xyz
14,N10_neutral,neutral,0,10,-33.70290609855377,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/frequency/N10_neutral_iso0044_conf0/post_freq_minimum.xyz
15,N10_neutral,neutral,0,10,-22.964024125371594,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/xtb/N10_neutral_iso0099_conf1/xtbopt.xyz
16,N10_neutral,neutral,0,10,-20.37318485912619,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/xtb/N10_neutral_iso0159_conf0/xtbopt.xyz
17,N10_neutral,neutral,0,10,-3.7374478938331728,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/xtb/N10_neutral_iso0051_conf1/xtbopt.xyz
18,N10_neutral,neutral,0,10,8.820290210928198,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/xtb/N10_neutral_iso0206_conf1/xtbopt.xyz
19,N10_neutral,neutral,0,10,13.767552693254551,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/xtb/N10_neutral_iso0235_conf1/xtbopt.xyz
20,N10_neutral,neutral,0,10,34.25868604868658,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/xtb/N10_neutral_iso0040_conf1/xtbopt.xyz
21,N10_neutral,neutral,0,10,40.40092388488803,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/xtb/N10_neutral_iso0190_conf0/xtbopt.xyz
22,N10_neutral,neutral,0,10,49.743038489404434,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/xtb/N10_neutral_iso0045_conf1/xtbopt.xyz
1,N12_neutral,neutral,0,12,-147.91893506595295,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/frequency/N12_neutral_iso0000_conf1/post_freq_minimum.xyz
2,N12_neutral,neutral,0,12,-134.68134587853166,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/frequency/N12_neutral_iso0179_conf1/post_freq_minimum.xyz
3,N12_neutral,neutral,0,12,-112.00658563938768,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/frequency/N12_neutral_iso0199_conf1/post_freq_minimum.xyz
4,N12_neutral,neutral,0,12,-102.33515544121417,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/frequency/N12_neutral_iso0093_conf0/post_freq_minimum.xyz
5,N12_neutral,neutral,0,12,-79.38867006682413,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/frequency/N12_neutral_iso0112_conf1/post_freq_minimum.xyz
6,N12_neutral,neutral,0,12,-71.55991392038565,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/frequency/N12_neutral_iso0028_conf0/post_freq_minimum.xyz
7,N12_neutral,neutral,0,12,-46.958648160994976,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/xtb/N12_neutral_iso0127_conf1/xtbopt.xyz
8,N12_neutral,neutral,0,12,-14.757721966850802,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/frequency/N12_neutral_iso0021_conf1/post_freq_minimum.xyz
9,N12_neutral,neutral,0,12,94.51315335069611,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/xtb/N12_neutral_iso0086_conf0/xtbopt.xyz
1,N14_neutral,neutral,0,14,-140.2079907888028,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/frequency/N14_neutral_iso0060_conf0/post_freq_minimum.xyz
2,N14_neutral,neutral,0,14,-99.45354555931173,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/xtb/N14_neutral_iso0137_conf0/xtbopt.xyz
3,N14_neutral,neutral,0,14,-62.31841836214803,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/xtb/N14_neutral_iso0134_conf0/xtbopt.xyz
4,N14_neutral,neutral,0,14,-38.6479824736443,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/frequency/N14_neutral_iso0015_conf1/post_freq_minimum.xyz
5,N14_neutral,neutral,0,14,-6.874578736760553,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/frequency/N14_neutral_iso0095_conf1/post_freq_minimum.xyz
1,N16_neutral,neutral,0,16,-188.29996856093538,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/xtb/N16_neutral_iso0002_conf1/xtbopt.xyz
2,N16_neutral,neutral,0,16,-151.60053468287845,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/frequency/N16_neutral_iso0001_conf0/post_freq_minimum.xyz
