rank,formula,family,tag,charge,n_atoms,e_xtb_hartree,e_per_atom_hartree,e_reaction_hartree,e_reaction_ev_per_atom,e_reaction_kcalmol,reference_reaction,smiles,xyz,is_true_minimum,n_freq_hops,n_imaginary_freq
6,N11_anion,anion,N11_anion_iso0024_conf1,-1,11,-32.16228873370246,-2.923844430336587,-0.10958473370246224,-0.27108659231285803,-68.76545911605804,Nx- -> (x-5)/2 N2 + N5-,[N-2]n1[n+]([N-2])n[n+]2nnnn[n+]12,resultats/seeds_pubchem/work/xtb/N11_anion_iso0024_conf1/xtbopt.xyz,True,0,0
7,N11_anion,anion,N11_anion_iso0130_conf0,-1,11,-32.142538699207684,-2.922048972655244,-0.08983469920768528,-0.22222969985749783,-56.37212526648364,Nx- -> (x-5)/2 N2 + N5-,n1[n+]2[n+](n[n+]3[n-][n-][n+]13)[N-][N-][N-]2,resultats/seeds_pubchem/work/frequency/N11_anion_iso0130_conf0/post_freq_minimum.xyz,True,2,0
8,N11_anion,anion,N11_anion_iso0175_conf0,-1,11,-32.130427383447056,-2.9209479439497326,-0.07772338344705787,-0.19226918248390198,-48.77215982749859,Nx- -> (x-5)/2 N2 + N5-,n1n[n+]2[n-][n-][n+]2[n+]2[n+]1[N-][N-][N-]2,resultats/seeds_pubchem/work/xtb/N11_anion_iso0175_conf0/xtbopt.xyz,True,0,0
9,N11_anion,anion,N11_anion_iso0214_conf1,-1,11,-32.12742522448433,-2.920675020407666,-0.07472122448432827,-0.184842554565112,-46.888276621905234,Nx- -> (x-5)/2 N2 + N5-,[N-2][N-][n+]1nn[n+]2nn[n-][n+]2n1,resultats/seeds_pubchem/work/frequency/N11_anion_iso0214_conf1/post_freq_minimum.xyz,True,1,0
10,N11_anion,anion,N11_anion_iso0025_conf0,-1,11,-32.111175934189816,-2.9191978121990743,-0.05847193418981789,-0.14464567143537507,-36.69169294040466,Nx- -> (x-5)/2 N2 + N5-,[N-2][n+]1n[n+]2nn[n-][n+]2n[n+]1[N-2],resultats/seeds_pubchem/work/xtb/N11_anion_iso0025_conf0/xtbopt.xyz,True,0,0
11,N11_anion,anion,N11_anion_iso0005_conf0,-1,11,-32.10612573291541,-2.91873870299231,-0.0534217329154103,-0.13215267348102183,-33.522643771511746,Nx- -> (x-5)/2 N2 + N5-,N#[N+][n+]1[n+]([N-2])n[n+]([N-2])n[n+]1[N-2],resultats/seeds_pubchem/work/xtb/N11_anion_iso0005_conf0/xtbopt.xyz,True,0,0
12,N11_anion,anion,N11_anion_iso0040_conf0,-1,11,-32.08054334880888,-2.916413031709898,-0.02783934880888239,-0.06886793393411679,-17.469455257633822,Nx- -> (x-5)/2 N2 + N5-,n1nn[n+]2[n-]n3[n-]n3[n-][n+]2n1,resultats/seeds_pubchem/work/frequency/N11_anion_iso0040_conf0/post_freq_minimum.xyz,True,1,0
13,N11_anion,anion,N11_anion_iso0110_conf0,-1,11,-32.06908493838588,-2.9153713580350797,-0.016380938385879062,-0.0405225492263533,-10.279194106683518,Nx- -> (x-5)/2 N2 + N5-,n1nn[n+]2[n+](n1)[N-][N-][N+]21[N-][N-]1,resultats/seeds_pubchem/work/frequency/N11_anion_iso0110_conf0/post_freq_minimum.xyz,True,1,0
14,N11_anion,anion,N11_anion_iso0115_conf1,-1,11,-32.06305172997435,-2.9148228845431223,-0.010347729974348852,-0.025597825191017644,-6.493298641643787,Nx- -> (x-5)/2 N2 + N5-,n1nn[n+]2[n+](n1)[N-][N+]1([N-][N-]1)[N-]2,resultats/seeds_pubchem/work/frequency/N11_anion_iso0115_conf1/post_freq_minimum.xyz,True,1,0
15,N11_anion,anion,N11_anion_iso0200_conf1,-1,11,-32.021074794629286,-2.9110067995117532,0.03162920537071301,0.07824313854510452,19.847626172990363,Nx- -> (x-5)/2 N2 + N5-,[N-2][n+]1[n+]2[n-][n-][n+]2n[n+]2[n-][n-][n+]12,resultats/seeds_pubchem/work/frequency/N11_anion_iso0200_conf1/post_freq_minimum.xyz,True,1,0
