source,tag,xyz_file,n_atoms,topology_label,charge,uhf,converged,e_xtb_hartree,e_xtb_eV_per_atom,delta_E_eV_per_atom_vs_N2,seconds
N_csp,N_csp_N7_0027_bicyclic-4-5,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0027_bicyclic-4-5.xyz,7,bicyclic-4-5,0,1,True,-20.187380421317226,-78.47523,-0.05289,2.32
N_csp,N_csp_N7_0020_ring-3-substituted,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0020_ring-3-substituted.xyz,7,ring-3-substituted,0,1,True,-20.122243956876677,-78.22202,0.20031,13.63
N_csp,N_csp_N7_0028_ring-3-substituted,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0028_ring-3-substituted.xyz,7,ring-3-substituted,0,1,False,,,,2.67
N_csp,N_csp_N7_0007_branched-tree,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0007_branched-tree.xyz,7,branched-tree,0,1,True,-20.20832890463264,-78.55666,-0.13433,31.76
N_csp,N_csp_N7_0029_bicyclic-3-6,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0029_bicyclic-3-6.xyz,7,bicyclic-3-6,0,1,True,-20.22227568929496,-78.61088,-0.18854,2.72
N_csp,N_csp_N7_0032_branched-tree,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0032_branched-tree.xyz,7,branched-tree,0,1,False,,,,3.48
N_csp,N_csp_N7_0033_bicyclic-3-4,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0033_bicyclic-3-4.xyz,7,bicyclic-3-4,0,1,True,-20.2713994616003,-78.80184,-0.3795,4.01
N_csp,N_csp_N7_0026_ring-6-substituted,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0026_ring-6-substituted.xyz,7,ring-6-substituted,0,1,True,-20.2674895798815,-78.78664,-0.36431,12.54
N_csp,N_csp_N7_0031_branched-tree,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0031_branched-tree.xyz,7,branched-tree,0,1,True,-20.267489576896313,-78.78664,-0.36431,5.74
N_csp,N_csp_N7_0037_ring-3-substituted,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0037_ring-3-substituted.xyz,7,ring-3-substituted,0,1,True,-20.267489577918166,-78.78664,-0.36431,2.67
